jamie,oliver,h1602913,15.0
mickey,mouse,h1623918,5.0
kashARP,money,h1629381,15.0
ahmad,johnson,h1623012,15.0
crash,holly,h1623810,10.0
oppa,lovesajushi,h1702830,12.5
kev123,in456,h1802930,15.0
melodious,tunes,h1823901,20.0
couragebear,weidaxiongmao,h1937402,5.0
olvier,twistorjamie,h1932900,20.0
janjan,JassJord,h2010230,17.5
electromagno,max4eqns,h2039213,7.5
handsome,elephantwarrior,h2023112,12.5
ayeaye,captain,h2129310,20.0
justa,genericname,h2184390,15.0
almost,wonMasterchef,h2102930,20.0
always,delightful,h2139210,20.0
